874.00
10
50679959
50484731
0 1 1 22 96.00 7 (D 0,1,1) (S 20,26,27) (S 25,14,20) (S 29,3,4) (S 6,10,10) (D 0,1,1)
0 1 2 22 68.00 7 (D 0,1,1) (S 19,13,14) (S 38,2,1) (S 31,23,24) (S 15,24,24) (D 0,1,1)
0 1 3 20 99.00 8 (D 0,1,1) (S 22,12,13) (S 27,7,11) (S 30,5,6) (S 14,23,23) (D 0,1,1)
0 1 4 20 110.00 8 (D 0,1,1) (S 17,21,23) (S 41,3,6) (S 34,4,10) (S 10,18,18) (D 0,1,1)
0 1 5 26 91.00 7 (D 0,1,1) (S 18,15,20) (S 24,13,15) (S 36,1,3) (S 2,4,4) (D 0,1,1)
0 1 6 22 82.00 6 (D 0,1,1) (S 21,14,18) (S 35,20,21) (S 5,8,8) (D 0,1,1)
0 1 7 18 67.00 6 (D 0,1,1) (S 37,18,21) (S 39,25,26) (S 1,3,3) (D 0,1,1)
0 1 8 26 92.00 7 (D 0,1,1) (S 23,22,23) (S 7,14,14) (S 32,4,6) (S 3,5,5) (D 0,1,1)
0 1 9 27 68.00 6 (D 0,1,1) (S 26,2,12) (S 8,15,15) (S 28,21,22) (S 13,22,22) (D 0,1,1)
0 1 10 10 101.00 8 (D 0,1,1) (S 33,16,17) (S 40,6,7) (S 12,21,21) (S 16,27,27) (D 0,1,1)
