2292.00
10
128527284
125725828
0 1 1 70 256.00 18 (D 0,1,1) (S 42,45,48) (S 57,45,50) (S 38,1,15) (S 95,45,49) (S 104,25,26) (S 97,9,1) (S 83,31,39) (S 110,15,16) (S 114,13,9) (S 71,43,44) (S 2,3,3) (S 5,6,6) (D 0,1,1)
0 1 2 63 236.00 15 (D 0,1,1) (S 56,38,46) (S 36,17,18) (S 47,34,42) (S 94,24,29) (S 77,32,19) (S 81,47,40) (S 101,36,38) (S 73,27,35) (S 61,23,24) (S 1,2,2) (S 24,37,37) (D 0,1,1)
0 1 3 69 265.00 16 (D 0,1,1) (S 53,5,10) (S 37,9,14) (S 43,12,19) (S 86,39,30) (S 122,12,11) (S 89,28,22) (S 105,29,37) (S 111,10,11) (S 59,48,49) (S 16,26,26) (S 29,47,47) (S 21,33,33) (D 0,1,1)
0 1 4 54 222.00 16 (D 0,1,1) (S 49,28,36) (S 45,30,38) (S 54,21,22) (S 120,25,20) (S 80,29,24) (S 63,3,2) (S 66,28,27) (S 72,39,31) (S 118,29,23) (S 31,49,49) (S 8,11,11) (S 25,38,38) (D 0,1,1)
0 1 5 68 241.00 15 (D 0,1,1) (S 55,41,42) (S 50,21,26) (S 34,42,43) (S 82,49,50) (S 98,39,40) (S 109,1,5) (S 90,30,17) (S 64,8,9) (S 113,1,16) (S 27,43,43) (S 22,34,34) (D 0,1,1)
0 1 6 50 188.00 17 (D 0,1,1) (S 35,14,15) (S 41,36,44) (S 39,20,21) (S 88,20,25) (S 112,5,6) (S 70,33,25) (S 108,27,28) (S 119,17,30) (S 93,1,9) (S 19,31,31) (S 15,24,24) (S 6,9,9) (D 0,1,1)
0 1 7 50 189.00 14 (D 0,1,1) (S 46,28,29) (S 48,15,24) (S 78,50,49) (S 58,44,43) (S 65,25,33) (S 60,11,12) (S 68,17,10) (S 103,23,15) (S 107,46,45) (S 18,30,30) (S 11,16,16) (S 17,29,29) (D 0,1,1)
0 1 8 61 286.00 16 (D 0,1,1) (S 51,17,24) (S 52,32,40) (S 84,26,25) (S 67,13,22) (S 74,19,32) (S 102,43,48) (S 116,23,29) (S 121,7,12) (S 117,13,8) (S 10,13,13) (S 9,12,12) (S 30,48,48) (D 0,1,1)
0 1 9 52 200.00 16 (D 0,1,1) (S 33,26,34) (S 44,14,23) (S 76,45,44) (S 75,11,6) (S 85,22,13) (S 62,18,19) (S 91,15,23) (S 96,16,17) (S 100,6,5) (S 4,5,5) (S 14,23,23) (S 13,22,22) (D 0,1,1)
0 1 10 60 209.00 14 (D 0,1,1) (S 40,22,23) (S 32,46,50) (S 99,24,23) (S 106,3,4) (S 87,6,11) (S 69,14,22) (S 92,8,13) (S 115,37,29) (S 79,16,15) (S 20,32,32) (S 7,10,10) (D 0,1,1)
