1319.00
10
37939866
36050797
0 1 1 38 106.00 10 (D 0,1,1) (S 32,27,29) (S 33,24,27) (S 38,9,4) (S 51,11,6) (S 7,10,10) (S 2,3,3) (D 0,1,1)
0 1 2 45 145.00 10 (D 0,1,1) (S 26,23,25) (S 24,9,13) (S 52,14,10) (S 44,10,14) (S 14,19,19) (S 20,29,29) (D 0,1,1)
0 1 3 44 161.00 11 (D 0,1,1) (S 28,29,31) (S 50,4,9) (S 42,15,14) (S 46,25,28) (S 10,13,13) (S 11,16,16) (D 0,1,1)
0 1 4 41 129.00 8 (D 0,1,1) (S 30,21,22) (S 48,18,19) (S 47,7,8) (S 53,29,28) (D 0,1,1)
0 1 5 28 118.00 10 (D 0,1,1) (S 27,3,9) (S 55,12,11) (S 37,2,1) (S 39,14,15) (S 18,26,26) (S 9,12,12) (D 0,1,1)
0 1 6 45 147.00 9 (D 0,1,1) (S 29,8,9) (S 35,19,18) (S 36,10,16) (S 43,1,2) (S 16,21,21) (S 1,2,2) (D 0,1,1)
0 1 7 38 113.00 9 (D 0,1,1) (S 23,8,12) (S 57,5,31) (S 41,19,22) (S 8,11,11) (S 4,5,5) (S 22,31,31) (D 0,1,1)
0 1 8 48 138.00 10 (D 0,1,1) (S 31,6,31) (S 54,3,2) (S 58,17,16) (S 13,18,18) (S 12,17,17) (S 3,4,4) (D 0,1,1)
0 1 9 47 138.00 10 (D 0,1,1) (S 25,10,11) (S 40,2,3) (S 45,31,5) (S 15,20,20) (S 21,30,30) (D 0,1,1)
0 1 10 45 124.00 7 (D 0,1,1) (S 34,15,16) (S 56,5,6) (S 49,12,18) (S 17,23,23) (S 19,28,28) (D 0,1,1)
